id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1873,06/11/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2340.567435,38.105801,2.613321,0,59.402516,16.363934,0,0,50.18619,128376.8293,2021.716111,146584.0534,100,300841.4934,55619.86686,154729.6373,170104.2905,127620.0059,162303.1353,100,98.486261,98.099129,96.691566,100,99.897425,0.013722569,128.5335722,23.7634114,66.10774592,72.67651765,54.52524204,69.34349888,62.62757108,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.185111,585177.8086,0,0,0.989250887,0.989250887,100,0,19163.33827,0.014764917,0.009812683,61.08625311,69.43459795,0.966129518,0.966129518,0.910571984,0.920466179,38.105801,2.613321,0,59.402516,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1874,06/18/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2451.135916,41.007511,4.408782,0.443233,58.60919,16.427932,1.479951,0,50.040827,132152.3939,2099.230765,152251.4607,100,312852.1899,58267.36305,159561.253,169399.9469,132251.6553,172381.6218,100,98.41448,96.424058,96.374526,100,100,0.013313418,127.6355945,23.77157573,65.09686059,69.110793,53.9552517,70.32723917,62.11465456,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649.965474,593163.2594,0,0,1.018472799,1.018472799,100,0,18859.0152,0.015388535,0.017238673,60.52299328,69.27690352,0.977196054,0.977196054,0.917672725,0.901028212,41.007511,4.408782,0.443233,58.60919,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1875,06/25/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2444.715761,22.357274,29.637748,14.812614,53.041262,7.965462,27.371039,10.030324,42.382641,127389.7394,2043.765831,147201.3475,99.970477,309507.5673,57581.79872,155893.7197,169855.4678,128355.5624,164954.7033,100,95.401929,98.135904,96.729281,100,100,0.03399339,126.60268,23.5535761,63.76762574,69.47861609,52.50326621,67.47398038,60.21204994,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,653.777184,583613.6166,0,0,0.974858498,0.974858498,100,0,19074.09974,0.040501325,0.009758432,59.63626628,69.20471293,0.965064973,0.965064973,0.900410342,0.923631833,22.357274,29.637748,14.812614,53.041262,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1876,07/02/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2572.418458,22.088998,56.903339,17.734953,46.512969,10.215805,54.377175,10.003622,39.801042,126298.5296,2010.298435,156459.6154,99.955163,335919.7798,61730.88241,187563.2904,182892.8073,130986.3104,176282.4878,100,98.439888,98.161995,97.106738,100,100,0.031894068,130.5852004,23.9972164,72.91321123,71.09761117,50.91951894,68.52792058,60.8219922,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,671.267943,633502.3011,0,0,1.038323203,1.038323203,100,0,19348.01049,0.03538707,0.009456171,60.00357714,69.98929808,1.035756693,1.035756693,0.96655941,0.930884918,22.088998,56.903339,17.734953,46.512969,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
1877,07/09/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2551.543289,32.750855,34.347742,5.135245,55.892074,14.96095,31.705288,0.270305,50.285819,126161.445,2043.091452,152201.3727,98.768264,314787.6502,59266.27036,161328.2589,174781.8688,122839.0918,168573.7162,98.768264,98.558877,97.304546,97.295198,100,100,0.034000769,123.3714715,23.22761703,63.22771775,68.50045208,48.14305614,66.06735497,59.65071153,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,655.957858,587874.099,0,0,0.995340894,0.995340894,100,0,19275.9377,0.039322945,0.015399303,59.27076131,68.62147882,0.973118061,0.973118061,0.917675904,0.921971467,32.750855,34.347742,5.135245,55.892074,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1878,07/16/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2467.679432,26.624838,13.496427,4.749623,59.036235,12.289846,9.888922,2.25176,46.506209,130361.2577,2085.596182,149517.2087,98.445452,315116.4863,57472.49534,164339.6448,175900.1975,122054.1272,166445.5103,98.290493,98.01224,96.632573,97.057007,100,99.974675,0.030642174,127.6974968,23.29009781,66.59683696,71.28162403,49.46109516,67.45021584,60.59020745,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,624.588378,576401.7823,0,0,0.972329932,0.972329932,100,0,19160.43035,0.039075228,0.014912687,60.19286966,69.05039312,0.941180273,0.941180273,0.953265426,0.980392966,26.624838,13.496427,4.749623,59.036235,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1879,07/23/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2458.209953,34.003807,5.919358,1.510925,58.532168,14.776531,4.317546,0.151147,45.700189,129484.0915,2055.911389,149707.2869,97.972586,319680.6546,56274.28033,161624.1191,183288.5972,122524.3347,167487.6354,98.645789,91.917306,90.524272,97.149097,100,99.988568,0.033032349,130.0461151,22.89238161,65.74870422,74.56181559,49.84290888,68.1339831,60.90093595,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.542401,585918.1961,0,0,0.962338113,0.962338113,100,0,19668.7961,0.041101856,0.011711941,60.60574738,69.39562301,0.954502434,0.954502434,0.950402006,0.987596764,34.003807,5.919358,1.510925,58.532168,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1880,07/30/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2473.720331,29.471442,4.263997,0.297367,55.525471,12.508861,2.36612,0,44.837277,131713.5439,2091.310236,150974.6041,97.952496,316426.3796,55717.89306,164514.0287,167461.5437,124560.2081,165490.9481,97.201021,91.753136,97.660091,97.352437,100,99.968643,0.030960837,127.9151793,22.52392575,66.50470008,67.6962313,50.35339142,66.89961918,61.03139559,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.429916,577536.8695,0,0,0.986246275,0.986246275,100,0,19595.30187,0.03951163,0.010020079,60.67067906,69.02934744,0.946638132,0.946638132,0.940651255,0.953769133,29.471442,4.263997,0.297367,55.525471,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1881,08/06/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2340.825268,36.208703,5.049404,0.849579,60.843612,12.731564,2.88497,0,47.593712,127974.9427,2038.429685,142901.4448,98.974432,316637.0553,55157.20583,171030.5468,182376.729,122376.6006,166621.2647,99.50439,98.348105,97.313553,97.21916,100,100,0.027614634,135.267275,23.56314527,73.06420908,77.91129543,52.27925479,71.18056481,61.04746337,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.315699,592186.921,0,0,0.936760422,0.936760422,100,0,19525.1351,0.036195764,0.007793424,60.41388472,69.22600442,0.96104544,0.96104544,0.931182294,0.994045299,36.208703,5.049404,0.849579,60.843612,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
1882,08/13/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2389.967544,35.787005,33.272237,3.906938,53.957834,12.573916,29.841815,0.447831,44.149611,119745.4555,1941.610419,141233.1175,98.86329,311398.494,55025.54847,163816.7631,183530.572,123040.167,161982.8347,99.40738,96.006975,97.5823,97.248675,100,99.995442,0.04181891,130.2940263,23.0235547,68.54350952,76.79207714,51.48194054,67.77616504,59.0941571,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,610.251225,580680.8623,0,0,0.93411502,0.93411502,100,0,19507.24379,0.047823324,0.014006968,58.68052559,69.77605583,0.956751593,0.956751593,0.93706138,1.003154172,35.787005,33.272237,3.906938,53.957834,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1883,08/20/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2327.852966,11.513585,25.793013,16.741076,49.433053,5.46769,25.585214,10.551968,36.566583,125172.1839,2005.229139,141152.4616,98.224171,317983.2977,55691.37718,151652.857,174812.5839,123120.1704,164416.7184,99.088667,98.548133,95.910177,97.420811,100,100,0.028620155,136.5993911,23.92392389,65.14709443,75.0960591,52.89001161,70.63019907,60.63633041,1928,1849094,0,0,0,0,309083,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,59,41,0,2167411,337280,0,259710,0,0,0,0,0,0,0,259710,0,0,337280,2167411,0,0,0,0,0,337280,259710,0,259710,0,337280,0,146973,2167411,259710,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,2504691,0,0,0,2160.06,0,0,0,77.93,80252.97,0,259710,0,146973,146973,0,0,0,584006.7145,584006.7145,0,0,1849094,2167411,0,0,0,0,0,0,0,0,0,0,0,337280,0,2167411,0,0,0,0,0,0,570.819515,586588.0614,0,0,0.941884436,0.941884436,100,0,19560.37927,0.033927668,0.008434922,59.61335973,69.97338034,0.955515544,0.955515544,0.919511804,0.976246946,11.513585,25.793013,16.741076,49.433053,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1884,08/27/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2359.36827,31.87837,3.65379,0.749898,57.993999,9.940142,1.46779,0.222277,41.650595,131360.7833,2104.251107,143701.7746,99.753866,304967.4901,56244.28566,162701.3573,176801.395,121206.8482,163480.5441,100,96.613396,98.050859,97.265565,100,100,0.024340603,129.2581129,23.83870563,68.95971238,74.93590435,51.37258551,69.28996468,60.90688615,1898,242723,0,0,0,194,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,58,44,0,1998671,318331,0,1941036,0,0,0,0,0,0,0,1941036,0,0,318331,1998671,0,0,0,0,0,318331,1941036,0,1941036,0,318331,0,146974,1998671,1941036,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,2317002,0,0,0,2160.06,0,0,0,75.88,80252.97,0,1941036,0,146974,146974,0,0,0,584006.7145,584006.7145,0,0,242723,1998671,0,0,0,0,0,0,0,0,0,0,0,318331,0,1998671,0,0,0,0,0,0,598.982779,592624.2418,0,0,0.982881921,0.982881921,100,0,19332.66242,0.024806441,0.03048393,59.86923129,69.51103797,0.966449248,0.966449248,0.925016654,0.941126939,31.87837,3.65379,0.749898,57.993999,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1885,09/03/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2514.528805,28.030818,60.303871,3.16625,49.919068,8.327722,54.666829,0.258666,37.386968,128502.6452,2079.587139,151050.9992,100,320358.0564,54637.51773,196910.8405,185423.5553,126976.23,172054.0475,100,98.50393,98.033523,97.221438,100,99.858181,0.027852771,127.4028183,21.7287301,78.30924033,73.7408754,50.49702741,68.42397158,60.07129403,1773,0,0,0,0,0,0,0,8,18,395496,407742,91.2,4.95,0,0,0,0,0,0,0,0,0,0,38,56,44,0,1968945,316459,0,1417604,0,0,0,0,0,0,0,1417604,0,0,316459,1968945,0,0,0,0,0,316459,1417604,0,1417604,0,316459,0,146973,1968945,1417604,7347.56,576086.91,0,0,27086.63,27086.63,0,9161.05,2018.03,0,2285404,0,0,0,2079.35,0,0,0,74.92,71661.81,0,1417604,0,146973,146973,0,0,0,576086.9106,576086.9106,0,0,0,1968945,0,0,0,0,0,0,0,0,0,0,0,316459,0,1968945,0,0,0,0,0,0,615.923792,614913.2865,0,0,0.976928725,0.976928725,100,0,19087.53856,0.023817704,0.050335278,59.54977293,68.53926249,1.012659564,1.012659564,0.974208485,0.997215519,28.030818,60.303871,3.16625,49.919068,7347.56,576086.9106,27086.63,0,71661.81,2079.35,18,0,0,0,71661.81
1886,09/10/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2504.946287,39.892587,5.406751,0.44169,62.352785,16.791464,3.904358,0,45.374576,131034.2356,2114.879399,151349.7135,100,315424.5755,55658.53119,171617.1786,176399.763,125365.6493,160715.3791,100,98.041899,97.955024,97.252756,100,99.906182,0.024821736,125.9206942,22.21945096,68.51132078,70.42057705,50.04724051,64.15921169,60.42034286,1471,896267,0,0,0,0,500,0,8,18,395496,407742,91.2,5,0,0,0,0,1,0,0,0,0,0,0,56,42,0,1696255,249847,0,1123750,0,0,0,0,0,0,0,1123750,0,0,249847,1696255,0,0,0,0,0,249847,1123750,0,1123750,0,249847,0,0,1696255,1123750,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,1946102,0,0,0,1971.74,0,0,0,73.12,60206.92,0,1123750,0,0,0,0,0,0,565527.172,565527.172,0,0,896267,1696255,0,0,0,0,0,0,0,0,0,0,0,249847,0,1696255,0,0,0,0,0,0,604.802725,572776.2189,0,0,0.993525169,0.993525169,100,0,19591.01677,0.022102415,0.044599297,59.77837421,68.60944708,0.972674829,0.972674829,0.953981543,0.960198667,39.892587,5.406751,0.44169,62.352785,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1887,09/17/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2516.737547,24.241183,66.127795,28.679694,58.097602,7.317427,55.449791,18.183743,44.243062,118342.9055,1938.11264,147197.1389,100,300159.1057,51784.0591,173713.4834,170636.5395,125178.1327,175536.347,100,96.71584,98.0069,97.271773,100,99.915422,0.042148406,119.2651598,20.57586782,69.02328119,67.80068891,49.73825453,69.74757746,58.48728211,1392,0,0,0,0,78,0,0,8,18,395496,407742,91.2,5,0,0,0,0,0,0,0,0,0,0,0,50,41,0,1900582,275843,0,1016238,0,0,0,0,0,0,0,1016238,0,0,275843,1900582,0,0,0,0,0,275843,1016238,0,1016238,0,275843,0,0,1900582,1016238,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,2176425,0,0,0,1971.74,0,0,0,73.83,60206.92,0,1016238,0,0,0,0,0,0,565527.172,565527.172,0,0,0,1900582,0,0,0,0,0,0,0,0,0,0,0,275843,0,1900582,0,0,0,0,0,0,623.197608,570503.6054,0,0,0.985216114,0.985216114,100,0,19299.70294,0.04426803,0.044337372,58.47151117,68.97897312,0.934364235,0.934364235,0.977017316,0.991678173,24.241183,66.127795,28.679694,58.097602,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1888,09/24/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2487.499125,45.01065,7.53361,1.39077,74.25774,18.752159,5.179209,0.352938,57.981286,125370.01,2035.534955,148837.0757,100,309463.3149,50865.90597,176270.2865,174163.0458,123787.5989,160408.1996,100,98.41166,97.972984,97.099749,100,99.974924,0.028521718,124.4074065,20.44861261,70.86245166,70.01531942,49.76387636,64.48573107,59.83402133,1606,1144451,0,0,0,208,0,0,8,18,395496,407742,91.2,5,0,0,0,0,0,0,0,0,0,0,0,50,44,0,147901,27941,0,124274,0,0,0,0,0,0,0,124274,0,0,27941,147901,0,0,0,0,0,27941,124274,0,124274,0,27941,0,0,147901,124274,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,175842,0,0,0,1971.74,0,0,0,70.79,60206.92,0,124274,0,0,0,0,0,0,565527.172,565527.172,0,0,1144451,147901,0,0,0,0,0,0,0,0,0,0,0,27941,0,147901,0,0,0,0,0,0,637.688574,578733.7799,0,0,0.988942392,0.988942392,100,0,19634.42033,0.02770065,0.039674993,59.17303976,68.64963905,0.936964406,0.936964406,0.929568096,0.939961825,45.01065,7.53361,1.39077,74.25774,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1889,10/01/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2553.453991,54.874272,37.23494,11.694362,75.338701,18.948544,32.568249,0.13006,66.086065,116450.4879,1928.313184,148615.4477,100,303853.5945,51294.71709,165641.3502,175632.11,120342.6038,160880.5142,100,98.576994,98.007422,97.378273,100,99.929661,0.036232726,118.99709,20.08836551,64.86952606,68.78217137,47.12934097,63.00505698,58.20173311,1431,401387,0,0,0,41,0,0,8,18,398808,411043,100.5,4.95,0,0,0,0,0,0,0,0,0,0,73,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8836.83,580263.15,0,0,34797.68,34797.68,0,8932.8,2344.71,0,0,0,0,0,3120.97,0,0,0,71.38,64346.61,0,0,0,0,0,0,0,0,580263.1463,580263.1463,0,0,401387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.327608,597573.0588,0,0,0.987607808,0.987607808,100,0,19529.23298,0.027192378,0.074091604,58.21923517,66.77908207,0.952070795,0.952070795,0.997974586,1.010496857,54.874272,37.23494,11.694362,75.338701,8836.83,580263.1463,34797.68,0,64346.61,3120.97,18,0,0,0,64346.61
1890,10/08/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2602.200871,57.068143,5.454524,2.77231,76.876926,18.291836,5.004258,0.879877,66.372659,121621.6651,2003.400165,153256.1419,100,312894.103,50129.48426,170260.5231,180321.9483,125544.0029,153362.5373,100,98.225283,97.925237,97.033461,100,99.962204,0.029861297,120.2421022,19.26426388,65.42943129,69.29593726,48.24531584,58.93570285,58.89481616,1516,371436,0,0,0,0,0,0,8,18,398808,411043,100.5,4.9,0,0,0,0,0,0,0,0,0,0,37,47,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9377.18,668678.99,0,0,28514.21,28514.21,0,12572,1670.97,0,0,0,0,0,10016.32,0,0,0,64.84,89184.76,0,0,0,0,0,0,0,0,668678.9922,668678.9922,0,0,371436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.795018,603997.28,0,0,0.992957539,0.992957539,100,0,19424.96768,0.029254212,0.040498361,58.34305129,67.46834303,0.973751011,0.973751011,0.97902945,0.985973127,57.068143,5.454524,2.77231,76.876926,9377.18,668678.9922,28514.21,0,89184.76,10016.32,18,0,0,0,89184.76
1891,10/15/2016,P2,Channel3,DMA7,IRI_Washington - Multi Outlet,2834.039921,36.180532,4.542115,0.407654,77.040613,8.004435,1.342268,0,65.306325,134187.099,2213.805943,167724.1809,100,326445.6818,52991.16595,193795.5929,206332.8899,129923.6819,168452.9136,100,93.876653,96.8437,97.25879,100,99.923418,0.02362084,115.1873971,18.69810145,68.38139134,72.80521646,45.84398439,59.43914634,59.18201069,1210,783605,0,0,0,34,0,0,8,18,398808,411043,100.5,4.9,0,0,0,0,0,0,0,0,0,0,0,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9377.18,668678.99,0,0,28514.21,28514.21,0,12572,1670.97,0,0,0,0,0,10016.32,0,0,0,63.42,89184.76,0,0,0,0,0,0,0,0,668678.9922,668678.9922,0,0,783605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.939789,596617.9966,0,0,1.029179807,1.029179807,100,0,19645.77454,0.023902612,0.037277895,58.48993753,66.68745243,0.97472157,0.97472157,0.963800658,0.936474512,36.180532,4.542115,0.407654,77.040613,9377.18,668678.9922,28514.21,0,89184.76,10016.32,18,0,0,0,89184.76
