id,Period,Product,Channel,DMA,Geography,IRI_EVO,IRI_pctTD_OLD,IRI_pctTF_OLD,IRI_pctFD_OLD,IRI_pctAT_OLD,IRI_TDpct,IRI_TFpct,IRI_FDpct,IRI_ATpct,IRI_BVO,IRI_BEV,IRI_DVO,IRI_pctTA,BRF_DVO,BER_DVO,BBX_DVO,BOT_DVO,SHH_DVO,WBR_DVO,BRF_TRD,BER_TRD,BBX_TRD,BOT_TRD,SHH_TRD,WBR_TRD,IRI_BAV,IRI_BRF,IRI_BER,IRI_BBX,IRI_BOT,IRI_SHH,IRI_WBR,IRI_PRC,IBT_RDM,FBT_IMP,IGP_IMP,ANP_IMP,OSF_IMP,OSI_ENG,PRP_TIM,INF_IMP,SKU_CNT_CORE,SKU_CNT_NONCORE,USS_NSA,USS_SSA,CCI_IDX,UMP_RTE,HOL_THK,HOL_CHR,HOL_EAS,HOL_FAT,HOL_LAB,HOL_MOT,HOL_NWY,HOL_VAT,HOL_MEM,HOL_IND,JOS_WAB,JOS_WWA,JOS_RWA,CHD_PCO,PRD_NSU,NPD_NSV,PRD_NSV,NPD_NSD,PRD_NSD,NPD_VOD,NPD_SBD,NPD_SBV,PRD_SBV,PRD_TVV,NPD_BDD,NPD_ADD,PRD_ADD,NPD_BRD,NPD_NBC,PRD_AFD,NPD_ADV,PRD_ADV,NPD_PTD,NPD_HDV,PRD_ACD,NSU_VID,NSU_DIS,SUP_VID,ADD_DIS,ADV_VID,NPD_VID,LTV_30B,NTV_15C,PRD_VID,NPD_DIS,CPR_SPD_OLD,DEP_SPD,NTV_15N,NTV_30C,MAS_SPD_OLD,MAS_SPD_OLD_1,POS_SPD_OLD,CPN_PRC,RBT_TCN,PRD_DIS,VID_PNP,BRD_IMP,IHR_IMP,PRI_SPD,TAS_SPD_OLD,EXM_ATT,SNF_AVG,NTV_30N,AVG_TMP,SPA_SPD_OLD,SFB_DIM,DIS_PNP,SFB_MIM,TVS_SPD,TVS_SPD_17,TVS_SPD_18,TVS_SPD_19,SIG_IMP,DEP_ALL_OLD,DEP_ALL_OLD_1,IGP_PSC,NPD_NSU,FBK_PSC,NSU_TVV,PRD_VOD,NSU_VOD,PRD_SBD,SUP_DIS,NPD_TVV,SUP_TVV,PRD_BDD,BDD_DIS,PRD_BRD,BRD_DIS,PRD_NBC,NBC_VID,NPD_AFD,AFD_VID,PRD_PTD,PTD_VID,PRD_HDV,HDV_VID,NPD_ACD,ACD_VID,IRI_NCV,IRI_TRD,TEN_SSL,IND_SSL,SEA_IRI_CORE,SEA_IRI_CORE_1,SSH_TRD,HOL_CHR_NEW,IRI_TRD_DESEA,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_BAS_PRC_1500ML,IRI_BAS_PRC_750ML,SEA_IRI_TRD,SEA_IRI_TRD_CORE,SEA_YT_CORE,SEA_YT_CORE_DESEA,IRI_pctTD,IRI_pctTF,IRI_pctFD,IRI_pctAT,CPR_SPD,DEP_ALL,MAS_SPD,POS_SPD,SPA_SPD,TAS_SPD,SKU_CNT_NONCORE_CAN,LTV_30B_17,LTV_30B_18,LTV_30B_19,SPA_SPD_NEW
1717,06/11/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2478.683242,28.579171,12.613329,3.90881,51.311541,10.851773,12.050196,1.309675,39.480099,136774.1434,1884.50206,173239.654,98.089714,625869.575,105498.6187,228455.7335,101334.0236,241204.2029,261808.1927,98.917464,94.933914,96.472457,85.493351,99.489957,99.207549,0.037016402,252.5008296,42.56236413,92.16818415,40.88219982,97.31142681,105.6239007,69.89180831,2282,719096,0,0,0,87,225029,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,39,67,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,71.82,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,719096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736.251592,585177.8086,0,0,0.931900913,0.931900913,99.489957,0,28840.96541,0.032873728,0.03611265,68.36654516,81.41111592,0.966129518,0.966129518,0.910571984,0.977112449,28.579171,12.613329,3.90881,51.311541,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1718,06/18/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2504.435582,27.897855,10.155044,6.952896,59.984649,9.983121,9.334464,5.08829,42.133865,137979.099,1914.464955,173579.7312,98.72095,638691.3775,106334.3293,231356.8409,105151.0039,240423.5316,265546.3336,99.672496,96.649121,96.193518,85.738349,99.430281,99.191219,0.038336213,255.0240789,42.45840063,92.3788348,41.98590878,95.99908791,106.0304108,69.30892232,1906,0,0,0,0,0,0,0,8,18,410863,405580,93.5,4.9,0,0,0,0,0,0,0,0,0,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,0,0,0,0,7534.71,0,0,0,72.12,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.362811,593163.2594,0,0,0.934467703,0.934467703,99.430281,0,29306.24943,0.034434032,0.036319494,67.77385013,81.33514363,0.977196054,0.977196054,0.917672725,0.982027224,27.897855,10.155044,6.952896,59.984649,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1719,06/25/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2534.617157,38.821371,5.455449,0.284573,61.545856,14.175831,3.968149,0.059269,51.705971,136196.4361,1881.471709,175930.7416,98.001408,653814.2171,114097.5966,239728.1006,104019.1892,236587.2772,253796.6884,98.858075,95.790072,96.3874,86.491968,98.348352,99.165938,0.04112651,257.9538355,45.01571225,94.58158205,41.03940862,93.34241132,100.1321591,69.4111697,1666,1718684,0,0,0,135,1306109,0,8,18,410863,405580,93.5,4.9,0,0,0,1,0,0,0,0,0,0,0,69,41,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,3506.75,597002.09,0,0,56364.91,56364.91,0,5635.47,1414,0,952198,0,0,0,7534.71,0,0,0,73.88,22803.12,0,0,0,0,0,0,0,0,597002.0887,597002.0887,0,0,1718684,952198,0,0,0,0,0,0,0,0,0,0,0,0,0,952198,0,0,0,0,0,0,731.080954,583613.6166,0,0,0.909318988,0.909318988,98.348352,0,29386.31886,0.031680745,0.049700694,67.77801813,81.62674763,0.965064973,0.965064973,0.900410342,0.990202948,38.821371,5.455449,0.284573,61.545856,3506.75,597002.0887,56364.91,0,22803.12,7534.71,18,0,0,0,22803.12
1720,07/02/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2989.506728,24.61275,41.621428,17.995822,41.682865,8.939101,36.182269,5.783973,41.817664,137154.8062,1896.190935,198786.8698,99.187453,714670.9747,124317.0742,246951.9594,107536.5624,257325.5856,272256.2094,100,97.624662,96.500283,87.082332,99.490973,99.229324,0.080695904,239.0598315,41.58447714,82.60625644,35.97133982,86.0762691,91.0706127,66.49487286,2031,825179,0,0,0,0,1306133,0,8,18,406853,404835,90,4.85,0,0,0,0,0,0,0,0,0,0,39,74,48,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,7193.17,550242.46,0,0,45590.83,45590.83,0,5563.98,1320.26,0,9943625,0,0,0,8895.48,0,0,0,75.92,25842.52,0,0,0,0,0,0,0,0,550242.4562,550242.4562,0,0,825179,9943625,0,0,0,0,0,0,0,0,0,0,0,0,0,9943625,0,0,0,0,0,0,878.620236,633502.3011,0,0,1.003151745,1.003151745,99.490973,0,30223.49711,0.072807715,0.049062032,67.39222054,81.92722286,1.035756693,1.035756693,0.96655941,0.963522633,24.61275,41.621428,17.995822,41.682865,7193.17,550242.4562,45590.83,0,25842.52,8895.48,18,0,0,0,25842.52
1721,07/09/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2390.729368,27.098708,9.633928,0.085807,58.392647,10.782867,9.156067,0,49.019231,135518.8883,1860.842047,169005.8014,98.286817,623306.2198,126262.9687,224271.8393,99694.69155,252060.0997,264945.2193,100,97.65464,96.26564,87.643329,99.469794,99.184361,0.029309283,260.7180169,52.81357664,93.80896153,41.70053411,105.4323016,110.8219202,70.69215097,1065,588349,0,0,0,45,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,1,0,75,49,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,1395709,0,0,0,12297.39,0,0,0,74.31,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,588349,1395709,0,0,0,0,0,0,0,0,0,0,0,0,0,1395709,0,0,0,0,0,0,699.444165,587874.099,0,0,0.925321928,0.925321928,99.469794,0,30257.03575,0.021345365,0.041207809,67.93583303,82.93029326,0.973118061,0.973118061,0.917675904,0.991736904,27.098708,9.633928,0.085807,58.392647,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1722,07/16/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2491.989851,34.349691,0,0,63.861001,12.957295,0,0,56.901161,130682.8431,1810.684665,171579.5812,97.45754,608358.8366,118565.9332,229491.8407,98157.30112,235071.8133,256578.1778,99.486002,97.306942,96.223989,85.954135,98.850407,98.523411,0.046010525,244.125728,47.57881865,92.09180391,39.38912555,94.33096736,102.9611648,68.8524398,3,331839,0,0,0,0,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,66,46,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,111151,0,0,0,12297.39,0,0,0,76.8,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,331839,111151,0,0,0,0,0,0,0,0,0,0,0,0,0,111151,0,0,0,0,0,0,718.617562,576401.7823,0,0,0.93368173,0.93368173,98.850407,0,29130.57693,0.023549443,0.086544504,67.04184113,82.61717084,0.941180273,0.941180273,0.953265426,1.020974702,34.349691,0,0,63.861001,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1723,07/23/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2545.724952,30.658337,28.821471,6.56803,50.790413,11.572296,14.720893,4.187595,40.506001,130955.2991,1829.280451,175864.6822,97.004638,623387.441,115615.9313,226046.9428,100955.8996,226690.6129,262648.4598,98.810867,95.979116,96.106646,87.046345,98.124015,97.990853,0.035006543,244.8761955,45.41571988,88.79472334,39.65703346,89.04756687,103.1723634,69.08235788,829,287466,0,0,0,182,4500,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,0,63,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,76.84,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,287466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689.835422,585918.1961,0,0,0.923733776,0.923733776,98.124015,0,29886.8177,0.013321637,0.080475308,66.3016763,82.73838102,0.954502434,0.954502434,0.950402006,1.028870038,30.658337,28.821471,6.56803,50.790413,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1724,07/30/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2774.402427,27.171387,41.150992,6.433649,49.326942,8.786461,36.168997,2.400583,49.170106,129961.8145,1814.440627,185700.6727,98.34501,611094.9609,115041.1395,233425.2128,103341.873,225583.8319,242938.8131,99.300679,96.746797,96.319744,87.480937,98.610199,99.153588,0.065517836,220.2618319,41.46519567,84.13531164,37.24833571,81.30898016,87.56437449,66.93357492,3614,1675617,0,0,0,111,0,0,8,18,406853,404835,90,4.8,0,0,0,0,0,0,0,0,0,0,77,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16409.21,433343.38,0,0,18655.63,18655.63,0,5385.26,1085.9,0,0,0,0,0,12297.39,0,0,0,79.22,33441.03,0,0,0,0,0,0,0,0,433343.3752,433343.3752,0,0,1675617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747.095821,577536.8695,0,0,0.957659718,0.957659718,98.610199,0,29716.94151,0.053219226,0.074697517,66.44678077,82.08970681,0.946638132,0.946638132,0.940651255,0.982239554,27.171387,41.150992,6.433649,49.326942,16409.21,433343.3752,18655.63,0,33441.03,12297.39,18,0,0,0,33441.03
1725,08/06/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2732.103617,22.102928,30.221567,9.826653,44.304655,9.510599,25.984973,4.477171,42.179076,131918.1981,1840.390577,185027.7813,97.476539,604818.6514,114906.135,237991.2848,103504.1672,233894.468,249490.4419,98.412898,95.883555,96.150137,86.210302,97.756391,99.068561,0.055188729,221.374712,42.0577515,87.10917233,37.8844223,85.60966229,91.3180746,67.72355929,2603,406785,0,0,0,0,180558,0,8,18,417702,404897,89.8,4.85,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742.58,562483.38,0,0,20251.87,20251.87,0,9158.29,1602.68,0,0,0,0,0,3608.25,0,0,0,78.4,73565.55,0,0,0,0,0,0,0,0,562483.3803,562483.3803,0,0,406785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724.754888,592186.921,0,0,0.9688313,0.9688313,97.756391,0,29803.38062,0.045666208,0.058039399,66.73858244,82.28358143,0.96104544,0.96104544,0.931182294,0.961139771,22.102928,30.221567,9.826653,44.304655,7742.58,562483.3803,20251.87,0,73565.55,3608.25,18,0,0,0,73565.55
1726,08/13/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2443.023335,20.621541,20.539901,0.095053,49.132067,10.462126,19.873837,0,32.714181,137042.7244,1915.359061,171743.9729,97.153732,630512.5091,115169.8687,239279.849,104141.5491,226411.4308,252413.2269,98.26378,95.082948,96.073537,86.54277,97.586055,97.440567,0.017464826,258.0869777,47.1423531,97.94415206,42.62814342,92.67673688,103.3200229,70.29976769,2421,1193880,0,0,0,79,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,55,40,0,1183532,349546,0,0,0,0,0,0,0,0,0,0,0,0,349546,1183532,0,0,0,0,0,349546,0,0,0,0,349546,0,0,1183532,0,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,1533078,0,0,0,2160.06,0,0,0,77.41,80252.97,0,0,0,0,0,0,0,0,584006.7145,584006.7145,0,0,1193880,1183532,0,0,0,0,0,0,0,0,0,0,0,349546,0,1183532,0,0,0,0,0,0,659.264947,580680.8623,0,0,0.881865079,0.881865079,97.586055,0,29387.5941,0.00749686,0.041972899,66.63082159,82.50240838,0.956751593,0.956751593,0.93706138,1.062590415,20.621541,20.539901,0.095053,49.132067,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1727,08/20/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2464.993907,21.426511,20.713023,0.08211,44.750839,10.997539,19.902516,0,24.864654,140969.6769,1981.028968,172833.6531,97.291833,629771.6567,111204.4808,243830.0249,103627.2545,228887.4041,252270.7928,98.461784,95.245275,96.145651,86.609642,97.982312,99.135734,0.014679358,255.4860906,45.11349115,98.91709031,42.03955807,92.85516019,102.3413454,70.11524556,1928,1849094,0,0,0,0,309083,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,59,41,0,2167411,337280,0,259710,0,0,0,0,0,0,0,259710,0,0,337280,2167411,0,0,0,0,0,337280,259710,0,259710,0,337280,0,146973,2167411,259710,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,2504691,0,0,0,2160.06,0,0,0,77.93,80252.97,0,259710,0,146973,146973,0,0,0,584006.7145,584006.7145,0,0,1849094,2167411,0,0,0,0,0,0,0,0,0,0,0,337280,0,2167411,0,0,0,0,0,0,632.630789,586588.0614,0,0,0.914078614,0.914078614,97.982312,0,29892.71171,0.006135349,0.040140003,66.40822787,82.60076222,0.955515544,0.955515544,0.919511804,1.005943898,21.426511,20.713023,0.08211,44.750839,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1728,08/27/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2483.813165,18.935622,19.884648,13.719777,51.010285,10.202817,18.95903,4.381802,32.785987,143194.2591,2022.803265,172447.18,98.053035,637526.6906,114189.5851,238262.6142,109639.3848,234370.5206,261781.6762,99.02674,96.053887,96.22135,88.438971,98.494781,99.245786,0.01923443,256.6725628,45.97350023,95.92614193,44.14155877,94.35915869,105.3950756,69.42840244,1898,242723,0,0,0,194,0,0,8,18,417702,404897,89.8,4.9,0,0,0,0,0,0,0,0,0,0,0,58,44,0,1998671,318331,0,1941036,0,0,0,0,0,0,0,1941036,0,0,318331,1998671,0,0,0,0,0,318331,1941036,0,1941036,0,318331,0,146974,1998671,1941036,6298.15,584006.71,0,0,20517.91,20517.91,0,9787.13,1688.81,0,2317002,0,0,0,2160.06,0,0,0,75.88,80252.97,0,1941036,0,146974,146974,0,0,0,584006.7145,584006.7145,0,0,242723,1998671,0,0,0,0,0,0,0,0,0,0,0,318331,0,1998671,0,0,0,0,0,0,663.556738,592624.2418,0,0,0.888272637,0.888272637,98.494781,0,29704.62276,0.012499807,0.042620228,66.1237954,81.87168782,0.966449248,0.966449248,0.925016654,1.041365697,18.935622,19.884648,13.719777,51.010285,6298.15,584006.7145,20517.91,0,80252.97,2160.06,18,0,0,0,80252.97
1729,09/03/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2953.026118,17.836287,48.678292,6.119468,53.452642,8.135833,36.413621,3.727737,42.93633,140692.4745,1996.735242,197085.8062,99.047651,676017.2518,117185.9259,286369.3915,107634.182,250723.8135,261685.6392,99.818791,97.283899,96.532569,88.191905,99.49023,99.321285,0.052808755,228.92356,39.6833354,96.97489289,36.44877414,84.90402844,88.61609371,66.7402855,1773,0,0,0,0,0,0,0,8,18,395496,407742,91.2,4.95,0,0,0,0,0,0,0,0,0,0,38,56,44,0,1968945,316459,0,1417604,0,0,0,0,0,0,0,1417604,0,0,316459,1968945,0,0,0,0,0,316459,1417604,0,1417604,0,316459,0,146973,1968945,1417604,7347.56,576086.91,0,0,27086.63,27086.63,0,9161.05,2018.03,0,2285404,0,0,0,2079.35,0,0,0,74.92,71661.81,0,1417604,0,146973,146973,0,0,0,576086.9106,576086.9106,0,0,0,1968945,0,0,0,0,0,0,0,0,0,0,0,316459,0,1968945,0,0,0,0,0,0,713.588892,614913.2865,0,0,0.970208237,0.970208237,99.49023,0,29746.42311,0.040548771,0.05343367,65.39254769,81.31659032,1.012659564,1.012659564,0.974208485,1.004123082,17.836287,48.678292,6.119468,53.452642,7347.56,576086.9106,27086.63,0,71661.81,2079.35,18,0,0,0,71661.81
1730,09/10/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2531.800396,35.748133,23.864209,4.884662,60.549509,12.970002,22.341595,2.399929,53.135182,132332.6095,1855.498902,172935.4317,99.075891,615302.6592,109682.4904,241518.9027,107989.5346,236036.3804,279106.0222,100,97.329661,96.446339,89.302133,99.387889,99.204717,0.042258417,243.0296876,43.32193429,95.3941326,42.65325765,93.22866873,110.2401369,68.30531821,1471,896267,0,0,0,0,500,0,8,18,395496,407742,91.2,5,0,0,0,0,1,0,0,0,0,0,0,56,42,0,1696255,249847,0,1123750,0,0,0,0,0,0,0,1123750,0,0,249847,1696255,0,0,0,0,0,249847,1123750,0,1123750,0,249847,0,0,1696255,1123750,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,1946102,0,0,0,1971.74,0,0,0,73.12,60206.92,0,1123750,0,0,0,0,0,0,565527.172,565527.172,0,0,896267,1696255,0,0,0,0,0,0,0,0,0,0,0,249847,0,1696255,0,0,0,0,0,0,666.501872,572776.2189,0,0,0.913223265,0.913223265,99.387889,0,30165.60225,0.023884364,0.0923945,66.72031581,81.23575386,0.972674829,0.972674829,0.953981543,1.04463123,35.748133,23.864209,4.884662,60.549509,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1731,09/17/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2754.851562,41.413107,26.46234,13.419416,72.860307,11.723654,11.962702,7.28299,57.438363,131697.7178,1849.723927,186392.6819,99.224003,596331.9726,103729.2783,234280.3546,107384.7577,239111.9662,253618.5792,100,97.281548,96.417119,89.310757,99.42669,99.293184,0.049703085,216.4660996,37.65330943,85.0428233,38.9802337,86.79667881,92.06252079,67.65979136,1392,0,0,0,0,78,0,0,8,18,395496,407742,91.2,5,0,0,0,0,0,0,0,0,0,0,0,50,41,0,1900582,275843,0,1016238,0,0,0,0,0,0,0,1016238,0,0,275843,1900582,0,0,0,0,0,275843,1016238,0,1016238,0,275843,0,0,1900582,1016238,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,2176425,0,0,0,1971.74,0,0,0,73.83,60206.92,0,1016238,0,0,0,0,0,0,565527.172,565527.172,0,0,0,1900582,0,0,0,0,0,0,0,0,0,0,0,275843,0,1900582,0,0,0,0,0,0,629.119905,570503.6054,0,0,0.999203219,0.999203219,99.42669,0,29208.0727,0.024287306,0.117405027,66.86804386,80.71298224,0.934364235,0.934364235,0.977017316,0.977796405,41.413107,26.46234,13.419416,72.860307,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1732,09/24/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2807.949615,41.75926,18.053611,1.319452,58.131417,20.658237,8.553057,0.489072,50.077645,135307.1284,1889.685227,191198.7682,99.186092,592963.2758,101514.5444,245952.5646,110336.6833,228566.7198,250228.3756,100,97.194744,96.497735,89.769615,99.300265,99.320543,0.049034919,211.1730469,36.15255198,87.59151635,39.29439571,81.39986508,89.11426838,68.09195122,1606,1144451,0,0,0,208,0,0,8,18,395496,407742,91.2,5,0,0,0,0,0,0,0,0,0,0,0,50,44,0,147901,27941,0,124274,0,0,0,0,0,0,0,124274,0,0,27941,147901,0,0,0,0,0,27941,124274,0,124274,0,27941,0,0,147901,124274,8746.77,565527.17,0,0,35844.93,35844.93,0,8326.27,2457,0,175842,0,0,0,1971.74,0,0,0,70.79,60206.92,0,124274,0,0,0,0,0,0,565527.172,565527.172,0,0,1144451,147901,0,0,0,0,0,0,0,0,0,0,0,27941,0,147901,0,0,0,0,0,0,634.739834,578733.7799,0,0,0.934832888,0.934832888,99.300265,0,28515.32088,0.02793827,0.112073373,67.61546452,80.46667645,0.936964406,0.936964406,0.929568096,0.9943682,41.75926,18.053611,1.319452,58.131417,8746.77,565527.172,35844.93,0,60206.92,1971.74,18,0,0,0,60206.92
1733,10/01/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2892.885916,49.449109,9.6109,0.72519,70.420075,18.656565,8.211802,0,48.093771,138669.1212,1941.353248,198075.8996,99.031214,597842.2842,100883.777,250837.9076,111790.6357,229511.886,260700.6294,100,97.204459,96.504091,89.658943,99.497143,99.338947,0.04142713,206.6594748,34.87305754,86.70853773,38.64329218,79.33665297,90.11783975,68.47000032,1431,401387,0,0,0,41,0,0,8,18,398808,411043,100.5,4.95,0,0,0,0,0,0,0,0,0,0,73,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8836.83,580263.15,0,0,34797.68,34797.68,0,8932.8,2344.71,0,0,0,0,0,3120.97,0,0,0,71.38,64346.61,0,0,0,0,0,0,0,0,580263.1463,580263.1463,0,0,401387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646.243009,597573.0588,0,0,0.979527014,0.979527014,99.497143,0,29945.34895,0.023449739,0.10374027,67.38833979,80.93114843,0.952070795,0.952070795,0.997974586,1.018833143,49.449109,9.6109,0.72519,70.420075,8836.83,580263.1463,34797.68,0,64346.61,3120.97,18,0,0,0,64346.61
1734,10/08/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2957.067115,44.216336,25.293809,20.759677,63.323146,13.346943,22.714795,9.498967,48.394,137194.6157,1944.344822,197860.3722,99.180395,620367.34,110034.4215,276836.4016,116008.5461,249844.7051,276776.4095,100,97.073285,96.451189,89.600229,99.374564,99.381019,0.051725962,209.7914305,37.21066084,93.61857233,39.23094796,84.4907117,93.59828463,66.91101842,1516,371436,0,0,0,0,0,0,8,18,398808,411043,100.5,4.9,0,0,0,0,0,0,0,0,0,0,37,47,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9377.18,668678.99,0,0,28514.21,28514.21,0,12572,1670.97,0,0,0,0,0,10016.32,0,0,0,64.84,89184.76,0,0,0,0,0,0,0,0,668678.9922,668678.9922,0,0,371436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.671518,603997.28,0,0,0.96861557,0.96861557,99.374564,0,29985.85096,0.055650296,0.05369852,66.59685055,80.19455726,0.973751011,0.973751011,0.97902945,1.010751303,44.216336,25.293809,20.759677,63.323146,9377.18,668678.9922,28514.21,0,89184.76,10016.32,18,0,0,0,89184.76
1735,10/15/2016,P2,Channel3,DMA6,IRI_Virginia - Multi Outlet,2478.574552,42.642376,1.428851,0.534918,64.721965,20.043706,0.013481,0,42.896306,130731.803,1844.643067,171903.7871,99.119625,649828.0307,104400.3932,254150.3776,117360.8127,230688.8417,245802.7144,100,97.106928,96.5147,89.0734,99.416958,99.2281,0.021378955,262.1781258,42.12114302,102.538928,47.35012413,93.0731906,99.17099899,69.35590739,1210,783605,0,0,0,34,0,0,8,18,398808,411043,100.5,4.9,0,0,0,0,0,0,0,0,0,0,0,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9377.18,668678.99,0,0,28514.21,28514.21,0,12572,1670.97,0,0,0,0,0,10016.32,0,0,0,63.42,89184.76,0,0,0,0,0,0,0,0,668678.9922,668678.9922,0,0,783605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.892219,596617.9966,0,0,0.935548148,0.935548148,99.416958,0,30408.81282,0.019190229,0.045295009,67.31994229,79.76056442,0.97472157,0.97472157,0.963800658,1.030198884,42.642376,1.428851,0.534918,64.721965,9377.18,668678.9922,28514.21,0,89184.76,10016.32,18,0,0,0,89184.76
